year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand
2014,260000,38000,Petrol,Individual,Manual,Second Owner,Maruti
2008,295000,120000,Diesel,Individual,Manual,First Owner,Mahindra
2019,340000,50000,Petrol,Individual,Manual,First Owner,Maruti
2017,710000,110000,Diesel,Individual,Automatic,First Owner,Volkswagen
2010,480000,90000,Diesel,Individual,Manual,First Owner,Mahindra
2018,275000,35000,Petrol,Individual,Manual,First Owner,Maruti
2017,860000,82080,Diesel,Individual,Automatic,First Owner,Others
2005,100000,120000,Diesel,Individual,Manual,Second Owner,Hyundai
2003,310000,90000,Petrol,Individual,Manual,Third Owner & Above,Honda
2014,600000,27000,Diesel,Dealer or Trustmark Dealer,Manual,First Owner,Others
2000,60000,40000,Petrol,Individual,Manual,Third Owner & Above,Maruti
2016,535000,52600,Diesel,Individual,Manual,First Owner,Hyundai
2010,250000,70000,Petrol,Individual,Manual,First Owner,Maruti
2015,295000,21000,Petrol,Individual,Manual,First Owner,Others
2008,263000,70000,Diesel,Individual,Manual,First Owner,Maruti
2015,190000,60000,Petrol,Individual,Manual,Second Owner,Tata
2015,380000,17152,Petrol,Individual,Manual,First Owner,Tata
2006,575000,1001,Diesel,Dealer or Trustmark Dealer,Manual,First Owner,Mahindra
2017,350000,30000,Petrol,Individual,Manual,First Owner,Maruti
2017,160000,50000,Petrol,Individual,Manual,First Owner,Maruti
